episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
18762,1,0.010000,0.000001,0.010000,0.376045,1
18763,1,0.010000,0.000001,0.010000,0.376045,1
18764,1,0.010000,0.000001,0.010000,0.376045,1
18765,1,0.010000,0.000001,0.010000,0.376045,1
18766,1,0.010000,0.000001,0.010000,0.376045,1
18767,1,0.010000,0.000001,0.010000,0.376045,0
18768,1,0.010000,0.000001,0.010000,0.376045,1
18769,1,0.010000,0.000001,0.010000,0.376045,1
18770,1,0.010000,0.000001,0.010000,0.376045,1
18771,1,0.010000,0.000001,0.010000,0.376045,1
18772,1,0.010000,0.000001,0.010000,0.376045,1
18773,1,0.010000,0.000001,0.010000,0.376045,1
18774,1,0.010000,0.000001,0.010000,0.376045,1
18775,1,0.010000,0.000001,0.010000,0.376045,1
18776,1,0.010000,0.000001,0.010000,0.376045,1
18777,1,0.010000,0.000001,0.010000,0.376045,1
18778,1,0.010000,0.000001,0.010000,0.376045,1
18779,1,0.010000,0.000001,0.010000,0.376045,1
18780,1,0.010000,0.000001,0.010000,0.376045,1
18781,1,0.010000,0.000001,0.010000,0.376045,1
18782,1,0.010000,0.000001,0.010000,0.376045,1
18783,1,0.010000,0.000001,0.010000,0.376045,1
18784,1,0.010000,0.000001,0.010000,0.376045,1
18785,1,0.010000,0.000001,0.010000,0.376045,1
18786,1,0.010000,0.000001,0.010000,0.376045,1
18787,1,0.010000,0.000001,0.010000,0.376045,1
18788,1,0.010000,0.000001,0.010000,0.376045,1
18789,1,0.010000,0.000001,0.010000,0.376045,1
18790,1,0.010000,0.000001,0.010000,0.376045,1
18791,1,0.010000,0.000001,0.010000,0.376045,1
18792,1,0.010000,0.000001,0.010000,0.376045,1
18793,1,0.010000,0.000001,0.010000,0.376045,1
18794,1,0.010000,0.000001,0.010000,0.376045,1
18795,1,0.010000,0.000001,0.010000,0.376045,1
18796,1,0.010000,0.000001,0.010000,0.376045,1
18797,1,0.010000,0.000001,0.010000,0.376045,1
18798,1,0.010000,0.000001,0.010000,0.376045,1
18799,1,0.010000,0.000001,0.010000,0.376045,1
18800,1,0.010000,0.000001,0.010000,0.376045,1
18801,1,0.010000,0.000001,0.010000,0.376045,0
18802,1,0.010000,0.000001,0.010000,0.376045,1
18803,1,0.010000,0.000001,0.010000,0.376045,1
18804,1,0.010000,0.000001,0.010000,0.376045,1
18805,1,0.010000,0.000001,0.010000,0.376045,1
18806,1,0.010000,0.000001,0.010000,0.376045,0
18807,1,0.010000,0.000001,0.010000,0.376045,1
18808,1,0.010000,0.000001,0.010000,0.376045,1
18809,1,0.010000,0.000001,0.010000,0.376045,1
18810,1,0.010000,0.000001,0.010000,0.376045,1
18811,1,0.010000,0.000001,0.010000,0.376045,1
18812,1,0.010000,0.000001,0.010000,0.376045,1
18813,1,0.010000,0.000001,0.010000,0.376045,1
18814,1,0.010000,0.000001,0.010000,0.376045,1
18815,1,0.010000,0.000001,0.010000,0.376045,1
18816,1,0.010000,0.000001,0.010000,0.376045,0
18817,1,0.010000,0.000001,0.010000,0.376045,1
18818,1,0.010000,0.000001,0.010000,0.376045,1
18819,1,0.010000,0.000001,0.010000,0.376045,1
18820,1,0.010000,0.000001,0.010000,0.376045,1
18821,1,0.010000,0.000001,0.010000,0.376045,1
18822,1,0.010000,0.000001,0.010000,0.376045,1
18823,1,0.010000,0.000001,0.010000,0.376045,1
18824,1,0.010000,0.000001,0.010000,0.376045,1
18825,1,0.010000,0.000001,0.010000,0.376045,1
18826,1,0.010000,0.000001,0.010000,0.376045,1
18827,1,0.010000,0.000001,0.010000,0.376045,1
18828,1,0.010000,0.000001,0.010000,0.376045,1
18829,1,0.010000,0.000001,0.010000,0.376045,1
18830,1,0.010000,0.000001,0.010000,0.376045,1
18831,1,0.010000,0.000001,0.010000,0.376045,1
18832,1,0.010000,0.000001,0.010000,0.376045,1
18833,1,0.010000,0.000001,0.010000,0.376045,1
18834,1,0.010000,0.000001,0.010000,0.376045,1
18835,1,0.010000,0.000001,0.010000,0.376045,1
18836,1,0.010000,0.000001,0.010000,0.376045,1
18837,1,0.010000,0.000001,0.010000,0.376045,1
18838,1,0.010000,0.000001,0.010000,0.376045,1
18839,1,0.010000,0.000001,0.010000,0.376045,1
18840,1,0.010000,0.000001,0.010000,0.376045,1
18841,1,0.010000,0.000001,0.010000,0.376045,1
18842,1,0.010000,0.000001,0.010000,0.376044,1
18843,1,0.010000,0.000001,0.010000,0.376044,1
18844,1,0.010000,0.000001,0.010000,0.376044,1
18845,1,0.010000,0.000001,0.010000,0.376044,1
18846,1,0.010000,0.000001,0.010000,0.376044,1
18847,1,0.010000,0.000001,0.010000,0.376044,1
18848,1,0.010000,0.000001,0.010000,0.376044,1
18849,1,0.010000,0.000001,0.010000,0.376044,1
18850,1,0.010000,0.000001,0.010000,0.376044,1
18851,1,0.010000,0.000001,0.010000,0.376044,1
18852,1,0.010000,0.000001,0.010000,0.376044,1
18853,1,0.010000,0.000001,0.010000,0.376044,1
18854,1,0.010000,0.000001,0.010000,0.376044,1
18855,1,0.010000,0.000001,0.010000,0.376044,1
18856,1,0.010000,0.000001,0.010000,0.376044,1
18857,1,0.010000,0.000001,0.010000,0.376044,1
18858,1,0.010000,0.000001,0.010000,0.376044,1
18859,1,0.010000,0.000001,0.010000,0.376044,1
18860,1,0.010000,0.000001,0.010000,0.376044,1
18861,1,0.010000,0.000001,0.010000,0.376044,1
18862,1,0.010000,0.000001,0.010000,0.376044,1
18863,1,0.010000,0.000001,0.010000,0.376044,1
18864,1,0.010000,0.000001,0.010000,0.376044,1
18865,1,0.010000,0.000001,0.010000,0.376044,1
18866,1,0.010000,0.000001,0.010000,0.376044,1
18867,1,0.010000,0.000001,0.010000,0.376044,1
18868,1,0.010000,0.000001,0.010000,0.376044,1
18869,1,0.010000,0.000001,0.010000,0.376044,1
18870,1,0.010000,0.000001,0.010000,0.376044,1
18871,1,0.010000,0.000001,0.010000,0.376044,1
18872,1,0.010000,0.000001,0.010000,0.376044,1
18873,1,0.010000,0.000001,0.010000,0.376044,1
18874,1,0.010000,0.000001,0.010000,0.376044,1
18875,1,0.010000,0.000001,0.010000,0.376044,1
18876,1,0.010000,0.000001,0.010000,0.376044,1
18877,1,0.010000,0.000001,0.010000,0.376044,1
18878,1,0.010000,0.000001,0.010000,0.376044,1
18879,1,0.010000,0.000001,0.010000,0.376044,1
18880,1,0.010000,0.000001,0.010000,0.376044,1
18881,1,0.010000,0.000001,0.010000,0.376044,1
18882,1,0.010000,0.000001,0.010000,0.376044,1
18883,1,0.010000,0.000001,0.010000,0.376044,0
18884,1,0.010000,0.000001,0.010000,0.376044,1
18885,1,0.010000,0.000001,0.010000,0.376044,1
18886,1,0.010000,0.000001,0.010000,0.376044,1
18887,1,0.010000,0.000001,0.010000,0.376044,1
18888,1,0.010000,0.000001,0.010000,0.376044,1
18889,1,0.010000,0.000001,0.010000,0.376044,1
18890,1,0.010000,0.000001,0.010000,0.376044,1
18891,1,0.010000,0.000001,0.010000,0.376044,1
18892,1,0.010000,0.000001,0.010000,0.376044,1
18893,1,0.010000,0.000001,0.010000,0.376044,1
18894,1,0.010000,0.000001,0.010000,0.376044,1
18895,1,0.010000,0.000001,0.010000,0.376044,1
18896,1,0.010000,0.000001,0.010000,0.376044,1
18897,1,0.010000,0.000001,0.010000,0.376044,1
18898,1,0.010000,0.000001,0.010000,0.376044,1
18899,1,0.010000,0.000001,0.010000,0.376044,1
18900,1,0.010000,0.000001,0.010000,0.376044,1
18901,1,0.010000,0.000001,0.010000,0.376044,1
18902,1,0.010000,0.000001,0.010000,0.376044,1
18903,1,0.010000,0.000001,0.010000,0.376044,1
18904,1,0.010000,0.000001,0.010000,0.376044,1
18905,1,0.010000,0.000001,0.010000,0.376044,1
18906,1,0.010000,0.000001,0.010000,0.376044,1
18907,1,0.010000,0.000001,0.010000,0.376044,1
18908,1,0.010000,0.000001,0.010000,0.376044,1
18909,1,0.010000,0.000001,0.010000,0.376044,1
18910,1,0.010000,0.000001,0.010000,0.376044,1
18911,1,0.010000,0.000001,0.010000,0.376044,1
18912,1,0.010000,0.000001,0.010000,0.376044,1
18913,1,0.010000,0.000001,0.010000,0.376044,1
18914,1,0.010000,0.000001,0.010000,0.376044,1
18915,1,0.010000,0.000001,0.010000,0.376044,1
18916,1,0.010000,0.000001,0.010000,0.376044,1
18917,1,0.010000,0.000001,0.010000,0.376044,1
18918,1,0.010000,0.000001,0.010000,0.376044,1
18919,1,0.010000,0.000001,0.010000,0.376044,1
18920,1,0.010000,0.000001,0.010000,0.376044,1
18921,1,0.010000,0.000001,0.010000,0.376044,1
18922,1,0.010000,0.000001,0.010000,0.376044,1
18923,1,0.010000,0.000001,0.010000,0.376044,1
18924,1,0.010000,0.000001,0.010000,0.376044,0
18925,1,0.010000,0.000001,0.010000,0.376044,1
18926,1,0.010000,0.000001,0.010000,0.376044,1
18927,1,0.010000,0.000001,0.010000,0.376044,1
18928,1,0.010000,0.000001,0.010000,0.376044,1
18929,1,0.010000,0.000001,0.010000,0.376044,1
18930,1,0.010000,0.000001,0.010000,0.376044,1
18931,1,0.010000,0.000001,0.010000,0.376044,1
18932,1,0.010000,0.000001,0.010000,0.376044,1
18933,1,0.010000,0.000001,0.010000,0.376044,1
18934,1,0.010000,0.000001,0.010000,0.376044,1
18935,1,0.010000,0.000001,0.010000,0.376044,1
18936,1,0.010000,0.000001,0.010000,0.376044,1
18937,1,0.010000,0.000001,0.010000,0.376044,1
18938,1,0.010000,0.000001,0.010000,0.376044,1
18939,1,0.010000,0.000001,0.010000,0.376044,1
18940,1,0.010000,0.000001,0.010000,0.376044,1
18941,1,0.010000,0.000001,0.010000,0.376044,1
18942,1,0.010000,0.000001,0.010000,0.376044,1
18943,1,0.010000,0.000001,0.010000,0.376044,1
18944,1,0.010000,0.000001,0.010000,0.376044,1
18945,1,0.010000,0.000001,0.010000,0.376044,1
18946,1,0.010000,0.000001,0.010000,0.376044,1
18947,1,0.010000,0.000001,0.010000,0.376044,1
18948,1,0.010000,0.000001,0.010000,0.376044,1
18949,1,0.010000,0.000001,0.010000,0.376044,1
18950,1,0.010000,0.000001,0.010000,0.376044,1
18951,1,0.010000,0.000001,0.010000,0.376044,1
18952,1,0.010000,0.000001,0.010000,0.376044,1
18953,1,0.010000,0.000001,0.010000,0.376044,1
18954,1,0.010000,0.000001,0.010000,0.376044,1
18955,1,0.010000,0.000001,0.010000,0.376044,1
18956,1,0.010000,0.000001,0.010000,0.376044,1
18957,1,0.010000,0.000001,0.010000,0.376044,1
18958,1,0.010000,0.000001,0.010000,0.376044,1
18959,1,0.010000,0.000001,0.010000,0.376044,0
18960,1,0.010000,0.000001,0.010000,0.376044,1
18961,1,0.010000,0.000001,0.010000,0.376044,1
18962,1,0.010000,0.000001,0.010000,0.376044,1
18963,1,0.010000,0.000001,0.010000,0.376044,1
18964,1,0.010000,0.000001,0.010000,0.376044,1
18965,1,0.010000,0.000001,0.010000,0.376044,1
18966,1,0.010000,0.000001,0.010000,0.376044,1
18967,1,0.010000,0.000001,0.010000,0.376044,1
18968,1,0.010000,0.000001,0.010000,0.376044,1
18969,1,0.010000,0.000001,0.010000,0.376044,1
18970,1,0.010000,0.000001,0.010000,0.376044,1
18971,1,0.010000,0.000001,0.010000,0.376044,0
18972,1,0.010000,0.000001,0.010000,0.376044,1
18973,1,0.010000,0.000001,0.010000,0.376044,1
18974,1,0.010000,0.000001,0.010000,0.376044,1
18975,1,0.010000,0.000001,0.010000,0.376044,1
18976,1,0.010000,0.000001,0.010000,0.376044,1
18977,1,0.010000,0.000001,0.010000,0.376044,1
18978,1,0.010000,0.000001,0.010000,0.376044,1
18979,1,0.010000,0.000001,0.010000,0.376044,1
18980,1,0.010000,0.000001,0.010000,0.376044,1
18981,1,0.010000,0.000001,0.010000,0.376044,1
18982,1,0.010000,0.000001,0.010000,0.376044,1
18983,1,0.010000,0.000001,0.010000,0.376044,0
18984,1,0.010000,0.000001,0.010000,0.376044,1
18985,1,0.010000,0.000001,0.010000,0.376044,1
18986,1,0.010000,0.000001,0.010000,0.376044,1
18987,1,0.010000,0.000001,0.010000,0.376044,1
18988,1,0.010000,0.000001,0.010000,0.376044,1
18989,1,0.010000,0.000001,0.010000,0.376044,1
18990,1,0.010000,0.000001,0.010000,0.376044,1
18991,1,0.010000,0.000001,0.010000,0.376044,1
18992,1,0.010000,0.000001,0.010000,0.376044,1
18993,1,0.010000,0.000001,0.010000,0.376044,1
18994,1,0.010000,0.000001,0.010000,0.376044,1
18995,1,0.010000,0.000001,0.010000,0.376044,1
18996,1,0.010000,0.000001,0.010000,0.376044,1
18997,1,0.010000,0.000001,0.010000,0.376044,1
18998,1,0.010000,0.000001,0.010000,0.376044,1
18999,1,0.010000,0.000001,0.010000,0.376044,1
19000,1,0.010000,0.000001,0.010000,0.376044,1
19001,1,0.010000,0.000001,0.010000,0.376044,1
19002,1,0.010000,0.000001,0.010000,0.376044,1
19003,1,0.010000,0.000001,0.010000,0.376044,1
19004,1,0.010000,0.000001,0.010000,0.376044,1
19005,1,0.010000,0.000001,0.010000,0.376044,1
19006,1,0.010000,0.000001,0.010000,0.376044,1
19007,1,0.010000,0.000001,0.010000,0.376044,1
19008,1,0.010000,0.000001,0.010000,0.376044,1
19009,1,0.010000,0.000001,0.010000,0.376044,1
19010,1,0.010000,0.000001,0.010000,0.376044,1
19011,1,0.010000,0.000001,0.010000,0.376044,1
19012,1,0.010000,0.000001,0.010000,0.376044,1
19013,1,0.010000,0.000001,0.010000,0.376044,1
19014,1,0.010000,0.000001,0.010000,0.376044,1
19015,1,0.010000,0.000001,0.010000,0.376044,1
19016,1,0.010000,0.000001,0.010000,0.376044,1
19017,1,0.010000,0.000001,0.010000,0.376044,1
19018,1,0.010000,0.000001,0.010000,0.376044,1
19019,1,0.010000,0.000001,0.010000,0.376044,1
19020,1,0.010000,0.000001,0.010000,0.376044,1
19021,1,0.010000,0.000001,0.010000,0.376044,1
19022,1,0.010000,0.000001,0.010000,0.376044,1
19023,1,0.010000,0.000001,0.010000,0.376044,1
19024,1,0.010000,0.000001,0.010000,0.376044,1
19025,1,0.010000,0.000001,0.010000,0.376044,1
19026,1,0.010000,0.000001,0.010000,0.376044,1
19027,1,0.010000,0.000001,0.010000,0.376044,1
19028,1,0.010000,0.000001,0.010000,0.376044,1
19029,1,0.010000,0.000001,0.010000,0.376044,1
19030,1,0.010000,0.000001,0.010000,0.376044,1
19031,1,0.010000,0.000001,0.010000,0.376044,1
19032,1,0.010000,0.000001,0.010000,0.376044,1
19033,1,0.010000,0.000001,0.010000,0.376044,1
19034,1,0.010000,0.000001,0.010000,0.376044,1
19035,1,0.010000,0.000001,0.010000,0.376044,0
19036,1,0.010000,0.000001,0.010000,0.376044,1
19037,1,0.010000,0.000001,0.010000,0.376044,1
19038,1,0.010000,0.000001,0.010000,0.376043,0
19039,1,0.010000,0.000001,0.010000,0.376043,1
19040,1,0.010000,0.000001,0.010000,0.376043,1
19041,1,0.010000,0.000001,0.010000,0.376043,1
19042,1,0.010000,0.000001,0.010000,0.376043,1
19043,1,0.010000,0.000001,0.010000,0.376043,1
19044,1,0.010000,0.000001,0.010000,0.376043,1
19045,1,0.010000,0.000001,0.010000,0.376043,1
19046,1,0.010000,0.000001,0.010000,0.376043,1
19047,1,0.010000,0.000001,0.010000,0.376043,1
19048,1,0.010000,0.000001,0.010000,0.376043,1
19049,1,0.010000,0.000001,0.010000,0.376043,1
19050,1,0.010000,0.000001,0.010000,0.376043,0
19051,1,0.010000,0.000001,0.010000,0.376043,1
19052,1,0.010000,0.000001,0.010000,0.376043,1
19053,1,0.010000,0.000001,0.010000,0.376043,1
19054,1,0.010000,0.000001,0.010000,0.376043,1
19055,1,0.010000,0.000001,0.010000,0.376043,1
19056,1,0.010000,0.000001,0.010000,0.376043,1
19057,1,0.010000,0.000001,0.010000,0.376043,1
19058,1,0.010000,0.000001,0.010000,0.376043,1
19059,1,0.010000,0.000001,0.010000,0.376043,1
19060,1,0.010000,0.000001,0.010000,0.376043,1
19061,1,0.010000,0.000001,0.010000,0.376043,1
19062,1,0.010000,0.000001,0.010000,0.376043,1
19063,1,0.010000,0.000001,0.010000,0.376043,1
19064,1,0.010000,0.000001,0.010000,0.376043,1
19065,1,0.010000,0.000001,0.010000,0.376043,1
19066,1,0.010000,0.000001,0.010000,0.376043,1
19067,1,0.010000,0.000001,0.010000,0.376043,1
19068,1,0.010000,0.000001,0.010000,0.376043,1
19069,1,0.010000,0.000001,0.010000,0.376043,1
19070,1,0.010000,0.000001,0.010000,0.376043,1
19071,1,0.010000,0.000001,0.010000,0.376043,1
19072,1,0.010000,0.000001,0.010000,0.376043,1
19073,1,0.010000,0.000001,0.010000,0.376043,1
19074,1,0.010000,0.000001,0.010000,0.376043,1
19075,1,0.010000,0.000001,0.010000,0.376043,1
19076,1,0.010000,0.000001,0.010000,0.376043,0
19077,1,0.010000,0.000001,0.010000,0.376043,1
19078,1,0.010000,0.000001,0.010000,0.376043,1
19079,1,0.010000,0.000001,0.010000,0.376043,1
19080,1,0.010000,0.000001,0.010000,0.376043,1
19081,1,0.010000,0.000001,0.010000,0.376043,1
19082,1,0.010000,0.000001,0.010000,0.376043,1
19083,1,0.010000,0.000001,0.010000,0.376043,1
19084,1,0.010000,0.000001,0.010000,0.376043,1
19085,1,0.010000,0.000001,0.010000,0.376043,1
19086,1,0.010000,0.000001,0.010000,0.376043,1
19087,1,0.010000,0.000001,0.010000,0.376043,1
19088,1,0.010000,0.000001,0.010000,0.376043,1
19089,1,0.010000,0.000001,0.010000,0.376043,1
19090,1,0.010000,0.000001,0.010000,0.376043,1
19091,1,0.010000,0.000001,0.010000,0.376043,1
19092,1,0.010000,0.000001,0.010000,0.376043,1
19093,1,0.010000,0.000001,0.010000,0.376043,1
19094,1,0.010000,0.000001,0.010000,0.376043,1
19095,1,0.010000,0.000001,0.010000,0.376043,1
19096,1,0.010000,0.000001,0.010000,0.376043,1
19097,1,0.010000,0.000001,0.010000,0.376043,1
19098,1,0.010000,0.000001,0.010000,0.376043,1
19099,1,0.010000,0.000001,0.010000,0.376043,1
19100,1,0.010000,0.000001,0.010000,0.376043,1
19101,1,0.010000,0.000001,0.010000,0.376043,1
19102,1,0.010000,0.000001,0.010000,0.376043,1
19103,1,0.010000,0.000001,0.010000,0.376043,1
19104,1,0.010000,0.000001,0.010000,0.376043,1
19105,1,0.010000,0.000001,0.010000,0.376043,1
19106,1,0.010000,0.000001,0.010000,0.376043,1
19107,1,0.010000,0.000001,0.010000,0.376043,1
19108,1,0.010000,0.000001,0.010000,0.376043,1
19109,1,0.010000,0.000001,0.010000,0.376043,1
19110,1,0.010000,0.000001,0.010000,0.376043,1
19111,1,0.010000,0.000001,0.010000,0.376043,1
19112,1,0.010000,0.000001,0.010000,0.376043,1
19113,1,0.010000,0.000001,0.010000,0.376043,1
19114,1,0.010000,0.000001,0.010000,0.376043,1
19115,1,0.010000,0.000001,0.010000,0.376043,1
19116,1,0.010000,0.000001,0.010000,0.376043,1
19117,1,0.010000,0.000001,0.010000,0.376043,1
19118,1,0.010000,0.000001,0.010000,0.376043,1
19119,1,0.010000,0.000001,0.010000,0.376043,1
19120,1,0.010000,0.000001,0.010000,0.376043,1
19121,1,0.010000,0.000001,0.010000,0.376043,1
19122,1,0.010000,0.000001,0.010000,0.376043,1
19123,1,0.010000,0.000001,0.010000,0.376043,1
19124,1,0.010000,0.000001,0.010000,0.376043,1
19125,1,0.010000,0.000001,0.010000,0.376043,1
19126,1,0.010000,0.000001,0.010000,0.376043,1
19127,1,0.010000,0.000001,0.010000,0.376043,1
19128,1,0.010000,0.000001,0.010000,0.376043,1
19129,1,0.010000,0.000001,0.010000,0.376043,0
19130,1,0.010000,0.000001,0.010000,0.376043,1
19131,1,0.010000,0.000001,0.010000,0.376043,1
19132,1,0.010000,0.000001,0.010000,0.376043,1
19133,1,0.010000,0.000001,0.010000,0.376043,1
19134,1,0.010000,0.000001,0.010000,0.376043,1
19135,1,0.010000,0.000001,0.010000,0.376043,1
19136,1,0.010000,0.000001,0.010000,0.376043,1
19137,1,0.010000,0.000001,0.010000,0.376043,1
19138,1,0.010000,0.000001,0.010000,0.376043,1
19139,1,0.010000,0.000001,0.010000,0.376043,1
19140,1,0.010000,0.000001,0.010000,0.376043,1
19141,1,0.010000,0.000001,0.010000,0.376043,1
19142,1,0.010000,0.000001,0.010000,0.376043,1
19143,1,0.010000,0.000001,0.010000,0.376043,1
19144,1,0.010000,0.000001,0.010000,0.376043,1
19145,1,0.010000,0.000001,0.010000,0.376043,1
19146,1,0.010000,0.000001,0.010000,0.376043,1
19147,1,0.010000,0.000001,0.010000,0.376043,1
19148,1,0.010000,0.000001,0.010000,0.376043,1
19149,1,0.010000,0.000001,0.010000,0.376043,1
19150,1,0.010000,0.000001,0.010000,0.376043,1
19151,1,0.010000,0.000001,0.010000,0.376043,1
19152,1,0.010000,0.000001,0.010000,0.376043,1
19153,1,0.010000,0.000001,0.010000,0.376043,1
19154,1,0.010000,0.000001,0.010000,0.376043,1
19155,1,0.010000,0.000001,0.010000,0.376043,1
19156,1,0.010000,0.000001,0.010000,0.376043,1
19157,1,0.010000,0.000001,0.010000,0.376043,0
19158,1,0.010000,0.000001,0.010000,0.376043,0
19159,1,0.010000,0.000001,0.010000,0.376043,1
19160,1,0.010000,0.000001,0.010000,0.376043,1
19161,1,0.010000,0.000001,0.010000,0.376043,0
19162,1,0.010000,0.000001,0.010000,0.376043,1
19163,1,0.010000,0.000001,0.010000,0.376043,1
19164,1,0.010000,0.000001,0.010000,0.376043,1
19165,1,0.010000,0.000001,0.010000,0.376043,1
19166,1,0.010000,0.000001,0.010000,0.376043,1
19167,1,0.010000,0.000001,0.010000,0.376043,1
19168,1,0.010000,0.000001,0.010000,0.376043,1
19169,1,0.010000,0.000001,0.010000,0.376043,1
19170,1,0.010000,0.000001,0.010000,0.376043,1
19171,1,0.010000,0.000001,0.010000,0.376043,1
19172,1,0.010000,0.000001,0.010000,0.376043,1
19173,1,0.010000,0.000001,0.010000,0.376043,1
19174,1,0.010000,0.000001,0.010000,0.376043,1
19175,1,0.010000,0.000001,0.010000,0.376043,1
19176,1,0.010000,0.000001,0.010000,0.376043,1
19177,1,0.010000,0.000001,0.010000,0.376043,1
19178,1,0.010000,0.000001,0.010000,0.376043,0
19179,1,0.010000,0.000001,0.010000,0.376043,1
19180,1,0.010000,0.000001,0.010000,0.376043,1
19181,1,0.010000,0.000001,0.010000,0.376043,1
19182,1,0.010000,0.000001,0.010000,0.376043,1
19183,1,0.010000,0.000001,0.010000,0.376043,1
19184,1,0.010000,0.000001,0.010000,0.376043,1
19185,1,0.010000,0.000001,0.010000,0.376043,1
19186,1,0.010000,0.000001,0.010000,0.376043,1
19187,1,0.010000,0.000001,0.010000,0.376043,1
19188,1,0.010000,0.000001,0.010000,0.376043,1
19189,1,0.010000,0.000001,0.010000,0.376043,1
19190,1,0.010000,0.000001,0.010000,0.376043,1
19191,1,0.010000,0.000001,0.010000,0.376043,1
19192,1,0.010000,0.000001,0.010000,0.376043,1
19193,1,0.010000,0.000001,0.010000,0.376043,1
19194,1,0.010000,0.000001,0.010000,0.376043,1
19195,1,0.010000,0.000001,0.010000,0.376043,1
19196,1,0.010000,0.000001,0.010000,0.376043,1
19197,1,0.010000,0.000001,0.010000,0.376043,1
19198,1,0.010000,0.000001,0.010000,0.376043,1
19199,1,0.010000,0.000001,0.010000,0.376043,1
19200,1,0.010000,0.000001,0.010000,0.376043,1
19201,1,0.010000,0.000001,0.010000,0.376043,1
19202,1,0.010000,0.000001,0.010000,0.376043,1
19203,1,0.010000,0.000001,0.010000,0.376043,1
19204,1,0.010000,0.000001,0.010000,0.376043,1
19205,1,0.010000,0.000001,0.010000,0.376043,1
19206,1,0.010000,0.000001,0.010000,0.376043,1
19207,1,0.010000,0.000001,0.010000,0.376043,1
19208,1,0.010000,0.000001,0.010000,0.376043,1
19209,1,0.010000,0.000001,0.010000,0.376043,1
19210,1,0.010000,0.000001,0.010000,0.376043,1
19211,1,0.010000,0.000001,0.010000,0.376043,1
19212,1,0.010000,0.000001,0.010000,0.376043,1
19213,1,0.010000,0.000001,0.010000,0.376043,1
19214,1,0.010000,0.000001,0.010000,0.376043,1
19215,1,0.010000,0.000001,0.010000,0.376043,1
19216,1,0.010000,0.000001,0.010000,0.376043,1
19217,1,0.010000,0.000001,0.010000,0.376043,1
19218,1,0.010000,0.000001,0.010000,0.376043,1
19219,1,0.010000,0.000001,0.010000,0.376043,1
19220,1,0.010000,0.000001,0.010000,0.376043,1
19221,1,0.010000,0.000001,0.010000,0.376043,1
19222,1,0.010000,0.000001,0.010000,0.376043,1
19223,1,0.010000,0.000001,0.010000,0.376043,1
